Year,Province,Resident Type,Total PRs,Total TRs
2011,Newfoundland and Labrador,International Students,0.0,1915.0
2011,Northwest Territories,International Students,0.0,25.0
2011,Nova Scotia,International Students,0.0,8860.0
2011,Nunavut,International Students,0.0,0.0
2011,Ontario,International Students,0.0,101765.0
2011,Prince Edward Island,International Students,0.0,780.0
2011,Province / Territory not stated,International Students,0.0,0.0
2011,Quebec,International Students,0.0,35370.0
2011,Saskatchewan,International Students,0.0,4635.0
2011,Yukon,International Students,0.0,45.0
2012,Alberta,International Students,0.0,19305.0
2012,British Columbia,International Students,0.0,70140.0
2012,Manitoba,International Students,0.0,7955.0
2012,New Brunswick,International Students,0.0,4115.0
2012,Newfoundland and Labrador,International Students,0.0,2300.0
2012,Northwest Territories,International Students,0.0,30.0
2012,Nova Scotia,International Students,0.0,10250.0
2012,Nunavut,International Students,0.0,0.0
2012,Ontario,International Students,0.0,114335.0
2012,Prince Edward Island,International Students,0.0,880.0
2012,Province / Territory not stated,International Students,0.0,0.0
2012,Quebec,International Students,0.0,39845.0
2012,Saskatchewan,International Students,0.0,5480.0
2012,Yukon,International Students,0.0,50.0
2013,Alberta,International Students,0.0,21840.0
2013,British Columbia,International Students,0.0,74065.0
2013,Manitoba,International Students,0.0,9470.0
2013,New Brunswick,International Students,0.0,4575.0
2013,Newfoundland and Labrador,International Students,0.0,2485.0
2013,Northwest Territories,International Students,0.0,35.0
2013,Nova Scotia,International Students,0.0,10885.0
2013,Nunavut,International Students,0.0,5.0
2013,Ontario,International Students,0.0,127540.0
2013,Prince Edward Island,International Students,0.0,1035.0
2013,Province / Territory not stated,International Students,0.0,0.0
2013,Quebec,International Students,0.0,43180.0
2013,Saskatchewan,International Students,0.0,6385.0
2013,Yukon,International Students,0.0,30.0
2014,Alberta,International Students,0.0,23155.0
2014,British Columbia,International Students,0.0,80880.0
2014,Manitoba,International Students,0.0,10815.0
2014,New Brunswick,International Students,0.0,4705.0
2014,Newfoundland and Labrador,International Students,0.0,2740.0
2014,Northwest Territories,International Students,0.0,30.0
2014,Nova Scotia,International Students,0.0,11170.0
2014,Nunavut,International Students,0.0,5.0
2014,Ontario,International Students,0.0,139890.0
2014,Prince Edward Island,International Students,0.0,1290.0
2014,Province / Territory not stated,International Students,0.0,0.0
2014,Quebec,International Students,0.0,48520.0
2014,Saskatchewan,International Students,0.0,6840.0
2014,Yukon,International Students,0.0,45.0
2015,Province / Territory not stated,International Students,0.0,35.0
2016,Province / Territory not stated,International Students,0.0,135.0
2017,Province / Territory not stated,International Students,0.0,135.0
2018,Province / Territory not stated,International Students,0.0,970.0
2019,Province / Territory not stated,International Students,0.0,2225.0
2020,Province / Territory not stated,International Students,0.0,1715.0
2021,Province / Territory not stated,International Students,0.0,4125.0
2022,Province / Territory not stated,International Students,0.0,10095.0
2023,Province / Territory not stated,International Students,0.0,16345.0
