,Year,Province,Total PRs,Resident Type,Total TRs
650,2018,Northwest Territories,0.0,International Students,35.0
652,2018,Nova Scotia,0.0,International Students,16205.0
653,2018,Nunavut,0.0,International Students,5.0
654,2018,Ontario,0.0,International Students,275365.0
655,2018,Prince Edward Island,0.0,International Students,3200.0
656,2018,Province / Territory not stated,0.0,International Students,970.0
657,2018,Quebec,0.0,International Students,70290.0
658,2018,Saskatchewan,0.0,International Students,9480.0
661,2018,Yukon,0.0,International Students,230.0
662,2019,Alberta,0.0,International Students,32915.0
663,2019,British Columbia,0.0,International Students,144280.0
665,2019,Manitoba,0.0,International Students,19295.0
666,2019,New Brunswick,0.0,International Students,6880.0
667,2019,Newfoundland and Labrador,0.0,International Students,4670.0
668,2019,Northwest Territories,0.0,International Students,35.0
670,2019,Nova Scotia,0.0,International Students,18570.0
671,2019,Nunavut,0.0,International Students,10.0
672,2019,Ontario,0.0,International Students,306070.0
673,2019,Prince Edward Island,0.0,International Students,3670.0
674,2019,Province / Territory not stated,0.0,International Students,2225.0
675,2019,Quebec,0.0,International Students,88100.0
676,2019,Saskatchewan,0.0,International Students,10780.0
679,2019,Yukon,0.0,International Students,265.0
680,2020,Alberta,0.0,International Students,27680.0
681,2020,British Columbia,0.0,International Students,118405.0
683,2020,Manitoba,0.0,International Students,16665.0
684,2020,New Brunswick,0.0,International Students,5430.0
685,2020,Newfoundland and Labrador,0.0,International Students,3905.0
686,2020,Northwest Territories,0.0,International Students,30.0
688,2020,Nova Scotia,0.0,International Students,14705.0
689,2020,Nunavut,0.0,International Students,10.0
690,2020,Ontario,0.0,International Students,242595.0
691,2020,Prince Edward Island,0.0,International Students,3385.0
692,2020,Province / Territory not stated,0.0,International Students,1715.0
693,2020,Quebec,0.0,International Students,83225.0
694,2020,Saskatchewan,0.0,International Students,9270.0
697,2020,Yukon,0.0,International Students,180.0
698,2021,Alberta,0.0,International Students,32445.0
699,2021,British Columbia,0.0,International Students,134785.0
701,2021,Manitoba,0.0,International Students,18700.0
702,2021,New Brunswick,0.0,International Students,7875.0
703,2021,Newfoundland and Labrador,0.0,International Students,4945.0
704,2021,Northwest Territories,0.0,International Students,25.0
706,2021,Nova Scotia,0.0,International Students,15690.0
707,2021,Nunavut,0.0,International Students,10.0
708,2021,Ontario,0.0,International Students,291530.0
709,2021,Prince Edward Island,0.0,International Students,3715.0
710,2021,Province / Territory not stated,0.0,International Students,4125.0
711,2021,Quebec,0.0,International Students,92165.0
712,2021,Saskatchewan,0.0,International Students,10350.0
715,2021,Yukon,0.0,International Students,225.0
716,2022,Alberta,0.0,International Students,43485.0
717,2022,British Columbia,0.0,International Students,165335.0
719,2022,Manitoba,0.0,International Students,22160.0
720,2022,New Brunswick,0.0,International Students,11445.0
721,2022,Newfoundland and Labrador,0.0,International Students,6210.0
722,2022,Northwest Territories,0.0,International Students,40.0
724,2022,Nova Scotia,0.0,International Students,20805.0
725,2022,Nunavut,0.0,International Students,10.0
726,2022,Ontario,0.0,International Students,412460.0
727,2022,Prince Edward Island,0.0,International Students,4475.0
728,2022,Province / Territory not stated,0.0,International Students,10095.0
729,2022,Quebec,0.0,International Students,94460.0
730,2022,Saskatchewan,0.0,International Students,13140.0
733,2022,Yukon,0.0,International Students,250.0
734,2023,Alberta,0.0,International Students,62750.0
735,2023,British Columbia,0.0,International Students,204100.0
737,2023,Manitoba,0.0,International Students,27675.0
738,2023,New Brunswick,0.0,International Students,15750.0
739,2023,Newfoundland and Labrador,0.0,International Students,7240.0
740,2023,Northwest Territories,0.0,International Students,55.0
742,2023,Nova Scotia,0.0,International Students,26490.0
743,2023,Nunavut,0.0,International Students,10.0
744,2023,Ontario,0.0,International Students,539480.0
745,2023,Prince Edward Island,0.0,International Students,5225.0
746,2023,Province / Territory not stated,0.0,International Students,16345.0
747,2023,Quebec,0.0,International Students,117745.0
748,2023,Saskatchewan,0.0,International Students,17815.0
751,2023,Yukon,0.0,International Students,310.0
